,Code,Name,StationTogether1,StationTogether2,LineCode1,LineCode2,LineCode3,LineCode4,Lat,Lon,Address
1,C01,Metro Center,A01,,BL,OR,SV,,38.898303,-77.028099,"{'Street': '607 13th St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20005'}"
1,C02,McPherson Square,,,BL,OR,SV,,38.901316,-77.033652,"{'Street': '1400 I St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20005'}"
1,C03,Farragut West,,,BL,OR,SV,,38.901311,-77.03981,"{'Street': '900 18th St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20006'}"
1,C04,Foggy Bottom-GWU,,,BL,OR,SV,,38.900599,-77.050273,"{'Street': '2301 I St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20037'}"
1,C05,Rosslyn,,,BL,OR,SV,,38.896595,-77.07146,"{'Street': '1850 N. Moore Street', 'City': 'Arlington', 'State': 'VA', 'Zip': '22209'}"
1,C06,Arlington Cemetery,,,BL,,,,38.884574,-77.063108,"{'Street': '1000 North Memorial Drive', 'City': 'Arlington', 'State': 'VA', 'Zip': '22211'}"
1,C07,Pentagon,,,BL,YL,,,38.869349,-77.054013,"{'Street': '2 South Rotary Road', 'City': 'Arlington', 'State': 'VA', 'Zip': '22202'}"
1,C08,Pentagon City,,,BL,YL,,,38.863045,-77.059507,"{'Street': '1250 South Hayes St.', 'City': 'Arlington', 'State': 'VA', 'Zip': '22202'}"
1,C09,Crystal City,,,BL,YL,,,38.85779,-77.050589,"{'Street': '1750 South Clark St.', 'City': 'Arlington', 'State': 'VA', 'Zip': '22202'}"
1,C10,Ronald Reagan Washington National Airport,,,BL,YL,,,38.852985,-77.043805,"{'Street': '2400 S. Smith Blvd.', 'City': 'Arlington', 'State': 'VA', 'Zip': '22202'}"
1,C12,Braddock Road,,,BL,YL,,,38.814009,-77.053763,"{'Street': '700 N. West St.', 'City': 'Alexandria', 'State': 'VA', 'Zip': '22301'}"
1,C13,King St-Old Town,,,BL,YL,,,38.806474,-77.061115,"{'Street': '1900 King Street', 'City': 'Alexandria', 'State': 'VA', 'Zip': '22301'}"
1,D01,Federal Triangle,,,BL,OR,SV,,38.893757,-77.028218,"{'Street': '302 12th St. NW', 'City': 'Washington', 'State': 'DC', 'Zip': '20004'}"
1,D02,Smithsonian,,,BL,OR,SV,,38.888022,-77.028232,"{'Street': '1200 Independence Avenue SW', 'City': 'Washington', 'State': 'DC', 'Zip': '20004'}"
